This is the row where we type the overview.,,,,,,
task,details,link,group,deadline,notes,cost
Learn the required skills,"WHAT: There is a list of the skills required to do this project
HOW: Click the link and read the ""Required Skills"" section
WHY: The required skills are needed to finish all the tasks",Document,Provided,,,
Learn about our company,"WHAT: The company is who we are and what we offer
HOW: Click the link, read the ""Our Company"" section
WHY: Our company solves a problem customers have",Document,Provided,,,
"Learn about our customers
","WHAT: Customers need the solution that our service offers
HOW: Click the link and read the ""Our Customers"" section
WHY: The document defines our customer profile in detail",Document,Provided,,,
"Learn about our competitors
","WHAT: The competitors are those selling similar services
HOW: Click the link, read the ""Our Competitors"" section
WHY: Analyizing competitors helps find and target leads",Document,Provided,,,
Learn our value proposition,"WHAT: The value proposition is the unique benefit we offer
HOW: Click the link, read the ""Value Propositions"" section
WHY: Learn why our service is unique to sell it effectively",Document,Provided,,,
Learn our campaign goals,"WHAT: The primary goal is to get leads to fill out a form
HOW: Click the link, read the ""Campaign Goals"" section
WHY: Inbound pre-qualified leads are sent to sales reps",Document,Provided,,,
Discuss the project,"WHAT: There is a discussion before the project starts
HOW: Send private messages to the project manager
WHY: All of the answers are added to the pseudo code",,Provided,,,
Copy this spreadsheet,"WHAT: There is a ""File"" menu at the top left of this sheet
HOW: Click ""File"" and ""Make a copy"" to copy this sheet
WHY: A copy of this sheet will be edited and then shared",,Produced,,,
Learn our campaign goals,"WHAT: The primary goal is to get leads to fill out a form
HOW: Click the link, read the ""Campaign Goals"" section
WHY: Inbound pre-qualified leads are sent to sales reps",Document,Provided,,,
Discuss the project,"WHAT: There is a discussion before the project starts
HOW: Send private messages to the project manager
WHY: All of the answers are added to the pseudo code",,Provided,,,
Define the deadlines,"WHAT: The deadlines column provides shows when tasks are due
HOW: Enter the dates tasks will be completed in deadline column
WHY: The project deadlines must be discussed and agreed upon",,Produced,,,
Get the escrow,"WHAT: Escrow is the payment for the project held by a 3rd party
HOW: Check the portal where this project is posted for the escrow
WHY: The escrow deposit proves the pay is secure for the project",,Provided,,,
Access our Google Analytics,"WHAT: An existing Google Analytics account reports traffic
HOW: Request access permission to our Google Analytics
WHY: The web analytics will track results for this campaign",,Provided,,,
Follow fellow businesses,"WHAT: 
HOW: 
WHY:",,,,,
Follow fellow brands,"WHAT: 
HOW: 
WHY:",,,,,
Follow fellow prospects,"WHAT: 
HOW: 
WHY:",,,,,
Define content strategy,"WHAT: 
HOW: 
WHY:",,,,,
Assemble content calendar,"WHAT: 
HOW: 
WHY:",,,,,
Run social media ads,"WHAT: 
HOW: 
WHY:",,,,,
Monitor growth of social presence,"WHAT: 
HOW: 
WHY:",,,,,
Receive the pay,"WHAT: The escrow amount is released by the project manager
HOW: Check the portal where this project is posted for the pay
WHY: Once all of the data is collected, the payment is released",,Provided,,,
Get rehired,"WHAT: Our company rehires talent to repeat campaigns
HOW: Complete the above tasks and get decent results
WHY: Getting rehired earns pay for ongoing optimization",,Produced,,,
